Topic,Definition of the topic,Rate of The Definition
A recipe,Shame,2
A recipe,stain,2
A recipe,scandal,2
A recipe,Bad sign,2
A recipe,"An accident is not good, it is a stain on the person",2
 ruins,Heights,0
 ruins,Mountain peaks,0
 ruins,Sundown,0
 ruins,Umm Kulthum,0
 ruins,Poems,0
 ruins,An empty place,0
 ruins,Loved ones,0
 ruins,memories,1
 ruins,Crying at home,1
 ruins,residue (s),1
 ruins,He calls places that remind him of his beloved,1
 ruins,Ancestral remains - heritage,1
 ruins,Old stuff,1
 ruins,Old places with memories,1
 ruins,Remnants of ancient places,2
 ruins,Destroyed and broken homes,2
 ruins,An old abandoned place or building,2
 ruins,Remnants of the pre-Islamic era,2
 ruins,Study places and remains of the past,2
 ruins,Remnants of rubble,2
bond,patience,0
bond,Hello,0
bond,linked (s),0
bond,communication,0
bond,one goal,0
bond,Collection of laces,0
bond,marriage,0
bond,Holding on to a need,0
bond,Collection collection,0
bond,power,1
bond,Link,1
bond,Covenant,1
bond,pregnancy,1
bond,Friendship and love,1
bond,link,1
bond,"The capital of Morocco (Yes, but what does it mean)",1
bond,A need that connects two needs,2
bond,Cohesion and interconnectedness,2
bond,"Coherence, documents",2
bond,Horse reins or leash,2
bond,He collected the bands of a group of armies in the Almighty’s saying (And prepare against them whatever force you are able of and of the strength of horses),2
bond,Waiting for jihad for the sake of God,2
Half,line,0
Half,beautiful,0
Half,Part of a line,0
Half,What is the first part of the verse called?,1
Half,House part,1
Half, Part of a poem or sentence of a story,1
Half,Part of something,1
Half,"Text, half of the thing",2
Half,One part of the verse,2
Half, A clip from a verse of poetry,2
Half,"hand, direction",2
Half,Face or direction (turn your faces towards each other),2
Pack,He messes with things,0
Pack,It fills and conceals his worries,0
Pack,He gets tired,0
Pack,He refuses,0
Pack,Searching,0
Pack,He endures,1
Pack,He takes away the responsibility for something,1
Pack,Heavy load,1
Pack,He does the thing and bears it,1
Pack,Cares about,2
Pack,Loaded with worries,2
Pack,Care,2
Pack,careworn,2
Pack,Burden and burden,2
credibility,Agreed upon between the two parties,0
credibility,The extent of honesty,0
credibility,friendship,0
credibility,Origin,0
credibility,Understand the thing before,0
credibility,Saying it,0
credibility,reality,0
credibility,agreement,0
credibility,Accomplish what is done,0
credibility,The right words,1
credibility,facts(s),1
credibility,"Truth, transparency and honesty",1
credibility,"Frankness, honesty",1
credibility,Honesty in everything,1
credibility,Matching words with actions and reality,2
credibility,Matching promises and execution,2
credibility,Honesty with oneself and honesty,2
credibility,The agreement is that no one deceives the other,2
credibility,,2
credibility,Trustworthy or reliable,2
credibility,Honesty in dealing,2
consequences,problems,0
consequences,contraindications,0
consequences,"Hardships, problems",0
consequences,The problems that afflict a person,0
consequences,"Troubles, obstacles",0
consequences," Barriers, contraindications",0
consequences,Punishments,0
consequences,Hardships,0
consequences, The right need,0
consequences,result (s),1
consequences,effects (s),1
consequences,What comes after a certain event,1
consequences,end,1
consequences,The last thing,1
consequences,Consequences of a failed decision,2
consequences,"Outcomes, consequences",2
consequences,Consequential things,2
consequences,The consequences of doing wrong,2
consequences,The reaction that a person experiences as a result of his actions,2
consequences,,2
 vacuum,Death of the bull,0
 vacuum,"Connectedness, ruin",0
 vacuum,Animal sound,0
 vacuum, vessel,0
 vacuum,Cow's voice,0
 vacuum,The name of the sound of something,0
 vacuum, Empty inside,1
 vacuum,Empty poetry does not contain feelings,1
 vacuum,,1
 vacuum,The emptiness,1
 vacuum,A hollow thing,1
 vacuum,emptiness,2
 vacuum, empty,2
 vacuum,Empty place,2
 vacuum, The empty thing,2
 vacuum,"Emptiness: like mental emptiness, meaning that a person’s mind is empty or psychologically empty",2
 vacuum,,2
 antidote,It is poison,0
 antidote,His decoction,0
 antidote,Heart medicine,0
 antidote,Harnesses,0
 antidote,"Disease, poison, nectar",0
 antidote,A type of fish,0
 antidote,"Drink, warmth",0
 antidote,treatment,1
 antidote,Herbs,1
 antidote,medicine,1
 antidote,A type of treatment,1
 antidote,Healing from poison,1
 antidote,Poison medicine,2
 antidote,Detox serum,2
 antidote,Anti-venom substance,2
 antidote,Medication to treat venom from a snake bite,2
 antidote,,2
 antidote,Healing from poison,2
regression,decrease,0
regression,to reject,0
regression,bell,0
regression,mistake,0
regression,Something is increasing,0
regression,Breaking the covenant,1
regression,drop,1
regression,defeat,1
regression,Reduce or decrease,1
regression,A type of trick (defensive),1
regression,Breaking a promise,1
regression,"Back, retreat",2
regression,"Deterioration, backwardness",2
regression,Childhood regression (psychology),2
regression,,2
regression,"Regression from top to bottom and lag, which is the opposite of progress",2
regression,,2
eradication,Espionage/snooping,0
eradication,Feel,0
eradication,Avoid/collect a corpse,0
eradication,We take something that is not our right,0
eradication,Appearance of,0
eradication,I stole it,0
eradication,Feeling - rape,0
eradication,to cut,1
eradication,Uprooted from the earth (S),1
eradication,Uprooting something from its roots,2
eradication,Erasing the trace of something by removing its roots,2
eradication,He removes it from its roots,2
eradication,To extract something from its source,2
Awwal,a lock,0
Awwal,darkness,0
Awwal,Be optimistic / the owner of Val,0
Awwal,Akol/very dark,0
Awwal,Talkative,0
Awwal,Who talks bad things?,0
Awwal,Complex - closed,0
Awwal,Be optimistic,0
Awwal,an end,1
Awwal,"When he went away, he said, “I don’t like people.” (S)",1
Awwal,,1
Awwal,Engraftment,1
Awwal,Stay away,1
Awwal,sunset,2
Awwal,The setting of the sun,2
Awwal,Disappearance/absence,2
Awwal,"He disappeared (and when he disappeared, he said, “I don’t like ghosts”)",2
Awwal,,2
Awwal,The disappearance or absence of the sun,2
 puzzle,A legal document proving ownership,0
 puzzle,Clear,0
 puzzle,Reasons and arguments,0
 puzzle,Coming from a difficult argument,0
 puzzle,Evidence/argument/evidence/defence,0
 puzzle,a barrier,0
 puzzle,story,1
 puzzle,Game,1
 puzzle,Bedtime story,1
 puzzle,Tales and stories,1
 puzzle,Fazora,2
 puzzle,puzzle,2
 puzzle,Words that people argue with have a complex and meaning,2
 puzzle,,2
putrid,Dulcet,0
putrid,harsh,0
putrid,spiteful/his heart is heavy,0
putrid,"Brilliant, prosperous",0
putrid,Sweet food,0
putrid,Sharp and bitter,0
putrid,Those who carry weapons,0
putrid,not sweet (opposite of sweet),1
putrid,nasty,1
putrid,It smells good (S),1
putrid,immobile (s),1
putrid,"Stagnant water, i.e. water with a change in taste, color or smell",2
putrid,,2
putrid,"Polluted, rotten, rotten",2
putrid,"Mukar, God Almighty said (water that is not stagnant)",2
putrid,,2
putrid,stagnant,2
putrid,moldy,2
Maria,"The Shining Thing, a girl's name",0
Maria,"Flexible, lying",0
Maria,"Beautiful, tidy",0
Maria,"Woman, lie",0
Maria,fear,1
Maria,Confusion,1
Maria,anxiety,1
Maria,"Doubt, suspicion",2
Maria,He thought,2
Maria,Doubt and disbelief,2
Maria,Hesitation regarding the matter. God Almighty said: “And those who disbelieve are still in doubt about it,2
Talk to each other,hang in there,0
Talk to each other,Gossiping,0
Talk to each other,the tongue,0
Talk to each other,Rumours,0
Talk to each other,You talk,0
Talk to each other,bla bla bla bla,0
Talk to each other, Stampede,0
Talk to each other,Talk to each other,0
Talk to each other,Speaking in an ugly or bad manner,1
Talk to each other,Speaking with the tongue,1
Talk to each other, Transgression or transgression,1
Talk to each other, Ugly response,1
Talk to each other, Talk to someone about something he hates,1
Talk to each other,,1
Talk to each other,Exchanging tongues,2
Talk to each other,"Between two people, it is insulting or cursing (Arabic language)",2
Talk to each other,,2
Talk to each other,Calling people names and throwing accusations at others,2
Talk to each other,,2
Talk to each other,,2
Talk to each other,Exchanging words,2
Talk to each other,"Intense discussion, verbal altercation",2
 Lajaj,"Fazura, Khassam",0
 Lajaj,Appearance or someone who wants an appearance,0
 Lajaj,Speaking in an incomprehensible dialect,0
 Lajaj,Mixed together,0
 Lajaj,fog,0
 Lajaj,Soft/soft,0
 Lajaj,"Doubt, bridle",0
 Lajaj, silver,0
 Lajaj,Dulcet,0
 Lajaj,Lots of water,1
 Lajaj, bla bla bla bla,1
 Lajaj,Crash,2
 Lajaj,sea waves,2
 Lajaj,"From the abyss, that is, the sea",2
 Lajaj,choppy,2
 Lajaj,Dispute,2
 Lajaj,Continuous water or successive waves,2
 tip,Water drowning,0
 tip,more,0
 tip,Something abundant,0
 tip,Hate/anger,0
 tip,High water,0
 tip,rage,0
 tip,past,0
 tip,Gaze,0
 tip,complication,0
 tip,Lack of water,1
 tip,Dry,1
 tip,part (s),1
 tip,decrease (x),1
 tip,recede (s),1
 tip,"Dry water, dry up",2
 tip,Water receding,2
 tip,The water has dried up,2
 tip, The water sank into the ground and disappeared,2
 tip,"After the flood, the water recedes",2
 tip,Tip of the iceberg (meaning part of a whole),2
 tip,,2
calcification,"Laziness, laziness",0
calcification,Something that is decreasing in size or becoming extinct,0
calcification,Shrinkage,0
calcification,Cover the thing,0
calcification,Crowded need,0
calcification,pain,0
calcification,Minimize,0
calcification,stiffness (s),1
calcification,Particles coming together next to each other,1
calcification,Petrified,2
calcification,Precipitation of insoluble calcium salts,2
calcification,Limescale deposits,2
calcification,"Calcium deposition in the joints, leading to their stiffness",2
