topic,question,answer,Rate
rebuke,rebuke,cuisine,0
rebuke,rebuke,Correcting errors for a young child (S),0
rebuke,rebuke,Insulting and cursing / insemination,1
rebuke,rebuke,Reprimanding him for his mistake,1
rebuke,rebuke,bad talk(s),1
rebuke,rebuke,insult,1
rebuke,rebuke,Disparaging others,1
rebuke,rebuke,Someone scolds someone,1
rebuke,rebuke, Reprimand,2
rebuke,rebuke,Blame and reproach,2
rebuke,rebuke,Reprimanding or blaming someone for a mistake,2
rebuke,rebuke,Blame violently,2
rebuke,rebuke,Severe blaming a person is an expression of dissatisfaction,2
rebuke,rebuke,,2
core,core,Fruit seed,0
core,core,Located inside the tree,0
core,core,inside the plant,0
core,core,Something to eat and have fun,0
core,core,What we chirp,0
core,core,Meaning/origin,1
core,core,Earth's core,1
core,core,What's inside thing(s),1
core,core,"It is called the core of the thing, meaning the origin of the thing",1
core,core,heart,2
core,core,Mind,2
core,core,Basis/essence of content (thing),2
core,core,"Conclusion, content",2
core,core, Center or middle,2
core,core,The inside/center of the thing,2
core,core,What is inside something (i.e. the essence of something),2
whine,whine,It is selfish and spiteful,0
whine,whine,selfish,0
whine,whine,to regret,0
whine,whine,low voice,0
whine,whine,Animal sound,0
whine,whine,Bee's voice,0
whine,whine,Someone calling for help,0
whine,whine,Thin or low voice,0
whine,whine,Crying,1
whine,whine,Crying softly,1
whine,whine,shouting,1
whine,whine,He's crying,1
whine,whine,Crying loudly,1
whine,whine,The sound of something like the groan of the oppressed expresses the feeling of (S),1
whine,whine,"A sound made by pain, illness, or pain",2
whine,whine,,2
whine,whine,A cry of pain,2
whine,whine, It hurt,2
whine,whine,"Crying, sadness, pain",2
whine,whine,groan,2
Paradox,Paradox,The difference between two things,0
Paradox,Paradox,infringement,0
Paradox,Paradox,Something crucial in a person's life,0
Paradox,Paradox,comparison,0
Paradox,Paradox,Points of difference,0
Paradox,Paradox,farewell,1
Paradox,Paradox,"Leaving, leaving",1
Paradox,Paradox,"Separation, abandonment",1
Paradox,Paradox,The quarrel,1
Paradox,Paradox,Away and away,2
Paradox,Paradox,Separation,2
Paradox,Paradox,Funny or funny,2
Paradox,Paradox,strange unexpected situation,2
Paradox,Paradox,A funny and surprising situation,2
Paradox,Paradox,Inconsistency in what a person says and does,2
punishment,punishment,Fabric scraps,0
punishment,punishment,short stories,0
punishment,punishment,the kill,0
punishment,punishment,Someone is saying something,0
punishment,punishment,Story - tale,0
punishment,punishment,Tells,0
punishment,punishment,He cuts,0
punishment,punishment,Cloth pieces,0
punishment,punishment,rule (s),0
punishment,punishment,Justice,1
punishment,punishment,revenge,1
punishment,punishment,He gets his due,1
punishment,punishment,penalty,1
punishment,punishment,avenger,1
punishment,punishment,Law Enforcement (S),1
punishment,punishment,Islamic rule (S),1
punishment,punishment,"And there is life for you in retaliation, O people of understanding. (S)",1
punishment,punishment,Taking the right and executing the sentence on the one who was killed,2
punishment,punishment,Haddad (S) Whoever kills shall be killed,2
punishment,punishment,"Taking the legal right “And there is life for you in retaliation, O people of understanding.”",2
punishment,punishment,Sentence of death and execution,2
punishment,punishment,Executing the sentence on the killer,2
punishment,punishment,An Islamic ruling applies to the murderer by killing him,2
punishment,punishment,"One of God’s limits: “And there is life for you in retaliation, O people of understanding.”",2
punishment,punishment,,2
 desert, desert,girl's name,0
 desert, desert,Something in war (horses and horses know me),0
 desert, desert,Empty or wide,0
 desert, desert,A group of Bedouins,0
 desert, desert,The beginning of something,0
 desert, desert,horses,0
 desert, desert,Spacious place,0
 desert, desert,Empty place,1
 desert, desert,A space or place devoid of people,1
 desert, desert,desert,2
 desert, desert,Barren desert,2
 desert, desert,Barren desert,2
 desert, desert,Deserts or deserts,2
A recipe,A recipe,fingerprint,0
A recipe,A recipe,event in history,0
A recipe,A recipe,characteristic,0
A recipe,A recipe,Code,0
A recipe,A recipe,An adjective or a nickname,0
A recipe,A recipe,Effect,1
A recipe,A recipe,a scar,1
A recipe,A recipe,sign (s),1
A recipe,A recipe,Something bad,1
A recipe,A recipe,Leave a trace,1
A recipe,A recipe,spot,1
A recipe,A recipe,Shame,2
A recipe,A recipe,stain,2
A recipe,A recipe,scandal,2
A recipe,A recipe,Bad sign,2
A recipe,A recipe,"An accident is not good, it is a stain on the person",2
 ruins, ruins,Heights,0
 ruins, ruins,Mountain peaks,0
 ruins, ruins,Sundown,0
 ruins, ruins,Umm Kulthum,0
 ruins, ruins,Poems,0
 ruins, ruins,An empty place,0
 ruins, ruins,Loved ones,0
 ruins, ruins,memories,1
 ruins, ruins,Crying at home,1
 ruins, ruins,residue (s),1
 ruins, ruins,He calls places that remind him of his beloved,1
 ruins, ruins,Ancestral remains - heritage,1
 ruins, ruins,Old stuff,1
 ruins, ruins,Old places with memories,1
 ruins, ruins,Remnants of ancient places,2
 ruins, ruins,Destroyed and broken homes,2
 ruins, ruins,An old abandoned place or building,2
 ruins, ruins,Remnants of the pre-Islamic era,2
 ruins, ruins,Study places and remains of the past,2
 ruins, ruins,Remnants of rubble,2
bond,bond,patience,0
bond,bond,Hello,0
bond,bond,linked (s),0
bond,bond,communication,0
bond,bond,one goal,0
bond,bond,Collection of laces,0
bond,bond,marriage,0
bond,bond,Holding on to a need,0
bond,bond,Collection collection,0
bond,bond,power,1
bond,bond,Link,1
bond,bond,Covenant,1
bond,bond,pregnancy,1
bond,bond,Friendship and love,1
bond,bond,link,1
bond,bond,"The capital of Morocco (Yes, but what does it mean)",1
bond,bond,A need that connects two needs,2
bond,bond,Cohesion and interconnectedness,2
bond,bond,"Coherence, documents",2
bond,bond,Horse reins or leash,2
bond,bond,He collected the bands of a group of armies in the Almighty’s saying (And prepare against them whatever force you are able of and of the strength of horses),2
bond,bond,Waiting for jihad for the sake of God,2
Half,Half,line,0
Half,Half,beautiful,0
Half,Half,Part of a line,0
Half,Half,What is the first part of the verse called?,1
Half,Half,House part,1
Half,Half, Part of a poem or sentence of a story,1
Half,Half,Part of something,1
Half,Half,"Text, half of the thing",2
Half,Half,One part of the verse,2
Half,Half, A clip from a verse of poetry,2
Half,Half,"hand, direction",2
Half,Half,Face or direction (turn your faces towards each other),2
Pack,Pack,He messes with things,0
Pack,Pack,It fills and conceals his worries,0
Pack,Pack,He gets tired,0
Pack,Pack,He refuses,0
Pack,Pack,Searching,0
Pack,Pack,He endures,1
Pack,Pack,He takes away the responsibility for something,1
Pack,Pack,Heavy load,1
Pack,Pack,He does the thing and bears it,1
Pack,Pack,Cares about,2
Pack,Pack,Loaded with worries,2
Pack,Pack,Care,2
Pack,Pack,careworn,2
Pack,Pack,Burden and burden,2
credibility,credibility,Agreed upon between the two parties,0
credibility,credibility,The extent of honesty,0
credibility,credibility,friendship,0
credibility,credibility,Origin,0
credibility,credibility,Understand the thing before,0
credibility,credibility,Saying it,0
credibility,credibility,reality,0
credibility,credibility,agreement,0
credibility,credibility,Accomplish what is done,0
credibility,credibility,The right words,1
credibility,credibility,facts(s),1
credibility,credibility,"Truth, transparency and honesty",1
credibility,credibility,"Frankness, honesty",1
credibility,credibility,Honesty in everything,1
credibility,credibility,Matching words with actions and reality,2
credibility,credibility,Matching promises and execution,2
credibility,credibility,Honesty with oneself and honesty,2
credibility,credibility,The agreement is that no one deceives the other,2
credibility,credibility,,2
credibility,credibility,Trustworthy or reliable,2
credibility,credibility,Honesty in dealing,2
consequences,consequences,problems,0
consequences,consequences,contraindications,0
consequences,consequences,"Hardships, problems",0
consequences,consequences,The problems that afflict a person,0
consequences,consequences,"Troubles, obstacles",0
consequences,consequences," Barriers, contraindications",0
consequences,consequences,Punishments,0
consequences,consequences,Hardships,0
consequences,consequences, The right need,0
consequences,consequences,result (s),1
consequences,consequences,effects (s),1
consequences,consequences,What comes after a certain event,1
consequences,consequences,end,1
consequences,consequences,The last thing,1
consequences,consequences,Consequences of a failed decision,2
consequences,consequences,"Outcomes, consequences",2
consequences,consequences,Consequential things,2
consequences,consequences,The consequences of doing wrong,2
consequences,consequences,The reaction that a person experiences as a result of his actions,2
consequences,consequences,,2
 vacuum, vacuum,Death of the bull,0
 vacuum, vacuum,"Connectedness, ruin",0
 vacuum, vacuum,Animal sound,0
 vacuum, vacuum, vessel,0
 vacuum, vacuum,Cow's voice,0
 vacuum, vacuum,The name of the sound of something,0
 vacuum, vacuum, Empty inside,1
 vacuum, vacuum,Empty poetry does not contain feelings,1
 vacuum, vacuum,,1
 vacuum, vacuum,The emptiness,1
 vacuum, vacuum,A hollow thing,1
 vacuum, vacuum,emptiness,2
 vacuum, vacuum, empty,2
 vacuum, vacuum,Empty place,2
 vacuum, vacuum, The empty thing,2
 vacuum, vacuum,"Emptiness: like mental emptiness, meaning that a person’s mind is empty or psychologically empty",2
 vacuum, vacuum,,2
 antidote, antidote,It is poison,0
 antidote, antidote,His decoction,0
 antidote, antidote,Heart medicine,0
 antidote, antidote,Harnesses,0
 antidote, antidote,"Disease, poison, nectar",0
 antidote, antidote,A type of fish,0
 antidote, antidote,"Drink, warmth",0
 antidote, antidote,treatment,1
 antidote, antidote,Herbs,1
 antidote, antidote,medicine,1
 antidote, antidote,A type of treatment,1
 antidote, antidote,Healing from poison,1
 antidote, antidote,Poison medicine,2
 antidote, antidote,Detox serum,2
 antidote, antidote,Anti-venom substance,2
 antidote, antidote,Medication to treat venom from a snake bite,2
 antidote, antidote,,2
 antidote, antidote,Healing from poison,2
regression,regression,decrease,0
regression,regression,to reject,0
regression,regression,bell,0
regression,regression,mistake,0
regression,regression,Something is increasing,0
regression,regression,Breaking the covenant,1
regression,regression,drop,1
regression,regression,defeat,1
regression,regression,Reduce or decrease,1
regression,regression,A type of trick (defensive),1
regression,regression,Breaking a promise,1
regression,regression,"Back, retreat",2
regression,regression,"Deterioration, backwardness",2
regression,regression,Childhood regression (psychology),2
regression,regression,,2
regression,regression,"Regression from top to bottom and lag, which is the opposite of progress",2
regression,regression,,2
eradication,eradication,Espionage/snooping,0
eradication,eradication,Feel,0
eradication,eradication,Avoid/collect a corpse,0
eradication,eradication,We take something that is not our right,0
eradication,eradication,Appearance of,0
eradication,eradication,I stole it,0
eradication,eradication,Feeling - rape,0
eradication,eradication,to cut,1
eradication,eradication,Uprooted from the earth (S),1
eradication,eradication,Uprooting something from its roots,2
eradication,eradication,Erasing the trace of something by removing its roots,2
eradication,eradication,He removes it from its roots,2
eradication,eradication,To extract something from its source,2
Awwal,Awwal,a lock,0
Awwal,Awwal,darkness,0
Awwal,Awwal,Be optimistic / the owner of Val,0
Awwal,Awwal,Akol/very dark,0
Awwal,Awwal,Talkative,0
Awwal,Awwal,Who talks bad things?,0
Awwal,Awwal,Complex - closed,0
Awwal,Awwal,Be optimistic,0
Awwal,Awwal,an end,1
Awwal,Awwal,"When he went away, he said, “I don’t like people.” (S)",1
Awwal,Awwal,,1
Awwal,Awwal,Engraftment,1
Awwal,Awwal,Stay away,1
Awwal,Awwal,sunset,2
Awwal,Awwal,The setting of the sun,2
Awwal,Awwal,Disappearance/absence,2
Awwal,Awwal,"He disappeared (and when he disappeared, he said, “I don’t like ghosts”)",2
Awwal,Awwal,,2
Awwal,Awwal,The disappearance or absence of the sun,2
 puzzle, puzzle,A legal document proving ownership,0
 puzzle, puzzle,Clear,0
 puzzle, puzzle,Reasons and arguments,0
 puzzle, puzzle,Coming from a difficult argument,0
 puzzle, puzzle,Evidence/argument/evidence/defence,0
 puzzle, puzzle,a barrier,0
 puzzle, puzzle,story,1
 puzzle, puzzle,Game,1
 puzzle, puzzle,Bedtime story,1
 puzzle, puzzle,Tales and stories,1
 puzzle, puzzle,Fazora,2
 puzzle, puzzle,puzzle,2
 puzzle, puzzle,Words that people argue with have a complex and meaning,2
 puzzle, puzzle,,2
putrid,putrid,Dulcet,0
putrid,putrid,harsh,0
putrid,putrid,spiteful/his heart is heavy,0
putrid,putrid,"Brilliant, prosperous",0
putrid,putrid,Sweet food,0
putrid,putrid,Sharp and bitter,0
putrid,putrid,Those who carry weapons,0
putrid,putrid,not sweet (opposite of sweet),1
putrid,putrid,nasty,1
putrid,putrid,It smells good (S),1
putrid,putrid,immobile (s),1
putrid,putrid,"Stagnant water, i.e. water with a change in taste, color or smell",2
putrid,putrid,,2
putrid,putrid,"Polluted, rotten, rotten",2
putrid,putrid,"Mukar, God Almighty said (water that is not stagnant)",2
putrid,putrid,,2
putrid,putrid,stagnant,2
putrid,putrid,moldy,2
Maria,Maria,"The Shining Thing, a girl's name",0
Maria,Maria,"Flexible, lying",0
Maria,Maria,"Beautiful, tidy",0
Maria,Maria,"Woman, lie",0
Maria,Maria,fear,1
Maria,Maria,Confusion,1
Maria,Maria,anxiety,1
Maria,Maria,"Doubt, suspicion",2
Maria,Maria,He thought,2
Maria,Maria,Doubt and disbelief,2
Maria,Maria,Hesitation regarding the matter. God Almighty said: “And those who disbelieve are still in doubt about it,2
Talk to each other,Talk to each other,hang in there,0
Talk to each other,Talk to each other,Gossiping,0
Talk to each other,Talk to each other,the tongue,0
Talk to each other,Talk to each other,Rumours,0
Talk to each other,Talk to each other,You talk,0
Talk to each other,Talk to each other,bla bla bla bla,0
Talk to each other,Talk to each other, Stampede,0
Talk to each other,Talk to each other,Talk to each other,0
Talk to each other,Talk to each other,Speaking in an ugly or bad manner,1
Talk to each other,Talk to each other,Speaking with the tongue,1
Talk to each other,Talk to each other, Transgression or transgression,1
Talk to each other,Talk to each other, Ugly response,1
Talk to each other,Talk to each other, Talk to someone about something he hates,1
Talk to each other,Talk to each other,,1
Talk to each other,Talk to each other,Exchanging tongues,2
Talk to each other,Talk to each other,"Between two people, it is insulting or cursing (Arabic language)",2
Talk to each other,Talk to each other,,2
Talk to each other,Talk to each other,Calling people names and throwing accusations at others,2
Talk to each other,Talk to each other,,2
Talk to each other,Talk to each other,,2
Talk to each other,Talk to each other,Exchanging words,2
Talk to each other,Talk to each other,"Intense discussion, verbal altercation",2
 Lajaj, Lajaj,"Fazura, Khassam",0
 Lajaj, Lajaj,Appearance or someone who wants an appearance,0
 Lajaj, Lajaj,Speaking in an incomprehensible dialect,0
 Lajaj, Lajaj,Mixed together,0
 Lajaj, Lajaj,fog,0
 Lajaj, Lajaj,Soft/soft,0
 Lajaj, Lajaj,"Doubt, bridle",0
 Lajaj, Lajaj, silver,0
 Lajaj, Lajaj,Dulcet,0
 Lajaj, Lajaj,Lots of water,1
 Lajaj, Lajaj, bla bla bla bla,1
 Lajaj, Lajaj,Crash,2
 Lajaj, Lajaj,sea waves,2
 Lajaj, Lajaj,"From the abyss, that is, the sea",2
 Lajaj, Lajaj,choppy,2
 Lajaj, Lajaj,Dispute,2
 Lajaj, Lajaj,Continuous water or successive waves,2
 tip, tip,Water drowning,0
 tip, tip,more,0
 tip, tip,Something abundant,0
 tip, tip,Hate/anger,0
 tip, tip,High water,0
 tip, tip,rage,0
 tip, tip,past,0
 tip, tip,Gaze,0
 tip, tip,complication,0
 tip, tip,Lack of water,1
 tip, tip,Dry,1
 tip, tip,part (s),1
 tip, tip,decrease (x),1
 tip, tip,recede (s),1
 tip, tip,"Dry water, dry up",2
 tip, tip,Water receding,2
 tip, tip,The water has dried up,2
 tip, tip, The water sank into the ground and disappeared,2
 tip, tip,"After the flood, the water recedes",2
 tip, tip,Tip of the iceberg (meaning part of a whole),2
 tip, tip,,2
calcification,calcification,"Laziness, laziness",0
calcification,calcification,Something that is decreasing in size or becoming extinct,0
calcification,calcification,Shrinkage,0
calcification,calcification,Cover the thing,0
calcification,calcification,Crowded need,0
calcification,calcification,pain,0
calcification,calcification,Minimize,0
calcification,calcification,stiffness (s),1
calcification,calcification,Particles coming together next to each other,1
calcification,calcification,Petrified,2
calcification,calcification,Precipitation of insoluble calcium salts,2
calcification,calcification,Limescale deposits,2
calcification,calcification,"Calcium deposition in the joints, leading to their stiffness",2
